#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  31
#! SET periodic_psi true
   -3.141592654   -3.141592654   96.990520191   46.817841366  -14.607426097
   -3.031361332   -3.141592654  101.697149519   37.849841084  -15.707193500
   -2.921130011   -3.141592654  105.326643308   27.517966462  -16.490274541
   -2.810898690   -3.141592654  107.800681673   16.956026049  -17.011360372
   -2.700667369   -3.141592654  109.144085603    7.097602233  -17.287658838
   -2.590436048   -3.141592654  109.470013762   -1.320590441  -17.369930516
   -2.480204727   -3.141592654  108.975980311   -7.645010610  -17.369475447
   -2.369973405   -3.141592654  107.942397206  -11.465085046  -17.414453075
   -2.259742084   -3.141592654  106.599127190  -13.065120725  -17.591325193
   -2.149510763   -3.141592654  105.199431308  -12.753599616  -17.999734761
   -2.039279442   -3.141592654  103.891176451  -11.298138621  -18.721014921
   -1.929048121   -3.141592654  102.758474842   -9.488474092  -19.783802562
   -1.818816799   -3.141592654  101.799362680   -8.186033457  -21.192991227
   -1.708585478   -3.141592654  100.912560760   -8.007047874  -22.880793600
   -1.598354157   -3.141592654   99.954777515   -9.351971712  -24.702356997
   -1.488122836   -3.141592654   98.750391849  -12.509498998  -26.579444981
   -1.377891515   -3.141592654   97.101357919  -17.237340152  -28.346634271
   -1.267660194   -3.141592654   94.856218348  -23.190965718  -29.798574583
   -1.157428872   -3.141592654   91.917848293  -29.658152935  -30.770521044
   -1.047197551   -3.141592654   88.272607392  -35.989217728  -31.208364696
   -0.936966230   -3.141592654   83.987683216  -41.447600011  -30.978869534
   -0.826734909   -3.141592654   79.173909492  -45.357231932  -30.075421336
   -0.716503588   -3.141592654   74.044804557  -47.187288861  -28.451588891
   -0.606272266   -3.141592654   68.856894458  -46.619186583  -26.183149646
   -0.496040945   -3.141592654   63.888862444  -43.438530348  -23.369152291
   -0.385809624   -3.141592654   59.402926847  -37.560474129  -20.077008843
   -0.275578303   -3.141592654   55.717668641  -29.251295524  -16.408367342
   -0.165346982   -3.141592654   53.044691021  -18.975362306  -12.459896721
   -0.055115661   -3.141592654   51.596709418   -7.255772492   -8.405076886
    0.055115661   -3.141592654   51.459806486    5.242674123   -4.353284193
    0.165346982   -3.141592654   52.685344315   17.457989584   -0.409289012
    0.275578303   -3.141592654   55.188078507   28.330510911    3.254055065
    0.385809624   -3.141592654   58.781472991   36.875813043    6.586304758
    0.496040945   -3.141592654   63.139394474   42.132705908    9.444774219
    0.606272266   -3.141592654   67.864471535   43.429915690   11.746636414
    0.716503588   -3.141592654   72.517977608   40.443217421   13.447778801
    0.826734909   -3.141592654   76.594186620   33.285643072   14.479706831
    0.936966230   -3.141592654   79.690694451   22.641710910   14.853406070
    1.047197551   -3.141592654   81.479742117    9.636274598   14.626348070
    1.157428872   -3.141592654   81.762581386   -4.306279334   13.852317957
    1.267660194   -3.141592654   80.543694850  -17.660140583   12.681554753
    1.377891515   -3.141592654   77.965269513  -28.832284133   11.216301828
    1.488122836   -3.141592654   74.332447115  -36.668041699    9.600217326
    1.598354157   -3.141592654   70.063538779  -40.291253066    7.947604265
    1.708585478   -3.141592654   65.639898496  -39.466098585    6.296674078
    1.818816799   -3.141592654   61.559615652  -34.312645288    4.713757388
    1.929048121   -3.141592654   58.250996870  -25.411632520    3.231611533
    2.039279442   -3.141592654   56.072939014  -13.674820338    1.778274894
    2.149510763   -3.141592654   55.304928773   -0.179390342    0.332955409
    2.259742084   -3.141592654   56.056667755   13.801709307   -1.170660547
    2.369973405   -3.141592654   58.323821764   27.262567421   -2.753210149
    2.480204727   -3.141592654   62.005358016   39.170862289   -4.475078005
    2.590436048   -3.141592654   66.867437699   48.607039186   -6.273984895
    2.700667369   -3.141592654   72.616888281   55.086277658   -8.105940026
    2.810898690   -3.141592654   78.870081847   58.080117292   -9.940192829
    2.921130011   -3.141592654   85.271891878   57.517347736  -11.666984045
    3.031361332   -3.141592654   91.424582790   53.631787701  -13.246143440

   -3.141592654   -2.938909257   93.660733272   44.903588374  -20.370449612
   -3.031361332   -2.938909257   98.185093948   36.475418926  -21.578955882
   -2.921130011   -2.938909257  101.694592381   26.730047966  -22.423579869
   -2.810898690   -2.938909257  104.105877514   16.644333773  -22.907322064
   -2.700667369   -2.938909257  105.441524454    7.131100244  -23.091204261
   -2.590436048   -2.938909257  105.805295522   -1.010765136  -23.046881762
   -2.480204727   -2.938909257  105.355883812   -7.289375136  -22.852543968
   -2.369973405   -2.938909257  104.338367503  -11.375499681  -22.655699374
   -2.259742084   -2.938909257  103.002113698  -13.307567167  -22.580445237
   -2.149510763   -2.938909257  101.543092360  -13.592634790  -22.716543999
   -2.039279442   -2.938909257  100.106498411  -12.784840804  -23.177917954
   -1.929048121   -2.938909257   98.762323991  -11.673260818  -23.970295450
   -1.818816799   -2.938909257   97.523181459  -10.951020879  -25.072241291
   -1.708585478   -2.938909257   96.298610606  -11.174205200  -26.399340196
   -1.598354157   -2.938909257   94.971787088  -12.799621098  -27.899751946
   -1.488122836   -2.938909257   93.386211029  -15.870942942  -29.355070337
   -1.377891515   -2.938909257   91.385340633  -20.225279994  -30.607432359
   -1.267660194   -2.938909257   88.835719662  -25.453487492  -31.477145121
   -1.157428872   -2.938909257   85.704370665  -30.930420837  -31.859264087
   -1.047197551   -2.938909257   81.979083319  -36.069396352  -31.595629062
   -0.936966230   -2.938909257   77.749394871  -40.174862313  -30.641107822
